Q57996;Q9UNF0
Q60180;O43196
A7I7N1;Q92563
Q46G70;Q14D04
A8MBV3;Q86YD5
Q58750;P36537
P54050;Q9NRY4
A7I6J1;Q5VV42
Q57627;P61601
Q46CU8;Q86UW6
A7I4W9;P32242
Q980W3;P35241
Q58648;Q494R4
A2BJ23;Q8NH79
Q6LWN2;Q9H6T0
A1RRA6;O15083
Q8TZD7;P29466
Q8PTD1;Q9NR55
C4KHH3;Q7Z7J9
B9LS04;P01569
D4GU66;Q6ZVK8
P00216;Q8IVN8
Q96YK0;Q5T011
Q8TXG3;P48594
Q12TG0;Q8N9W8
Q3IS17;P78563
Q97CQ3;Q14183
Q9YBY6;Q9P273
C3NEC5;P68106
Q8TTZ5;O43280
C3NF62;A2RUH7
Q6LXC5;P07306
F1SVE4;Q9NR97
Q2FN44;P23945
A9A9P4;Q6IPW1
Q5V4R5;A6NCI8
B0R7X8;O00624
O26607;A6NGB7
A4FW27;O95049
A3DMR8;Q3SYA9
Q58403;P47755
Q60295;Q9GZU1
A6UNL1;Q05193
Q58365;Q8NBI6
A6UQV8;A6NG13
Q8ZSP2;O14718
Q18GF8;Q9UI15
Q8ZYQ6;P0DPD5
A9A909;H0YM25
Q5JF42;Q309B1
A8AB61;Q6IN97
Q8PV43;Q8TA86
F4B9I5;P48549
Q8TZ45;Q9UN74
Q976I3;Q96JQ5
Q5JE49;Q5HYA8
Q8PW43;A2RUC4
O28617;Q8NG99
Q46GA9;Q13191
B8YB64;Q9BVA0
Q9HH06;Q6ZR52
A9A8P0;Q12904
Q58996;P31749
Q5JFR2;Q5VYY1
O33600;Q8WUQ7
Q18DP5;O75030
Q9Y9F2;Q9Y2D0
O27936;Q8IYK4
P60851;Q4VC44
Q9HIX3;Q08334
A0A0F8V8L2;Q8IYI6
Q6LWZ2;P49761
A5UMJ1;Q9HAW8
Q57646;Q96EK6
O29823;Q9P0L9
Q8TQP1;O43657
Q2NF85;Q8N0T1
Q8U3S7;O95473
B0R5P8;Q9NYG2
C3MRJ9;Q9GZU8
Q46BL0;Q15238
Q9P9I3;Q8NG04
O28817;P51532
C3N7D1;Q538Z0
A2SPK8;Q6NT89
Q58532;Q8NHS0
D4GPU8;Q8N912
Q3IUB0;Q9ULD6
Q58016;Q9HCM3
Q12UU7;Q8IZF3
P0DMI2;Q96NK8
Q60266;Q8IXM2
B0R6W9;Q2Q1W2
C3MZJ5;Q9UPU5
A7I5P4;O94903
Q57675;P28360
Q58019;Q9UHD2
Q12UL8;P62877
A9AAA7;Q9UEW3
O29845;Q8N8F6
Q5JEK6;Q53FP2
B0R7B4;Q8NFJ5
B0R6V4;P59551
Q18F19;A0PK11
Q5V545;O95800
Q2FTS5;O95803
O32462;Q9Y3Q0
Q18GQ9;P02792
Q2NFM3;O00482
Q59013;Q9Y6N5
O28380;Q9UNK0
Q6LYC4;Q9NY91
Q5UXH9;P0DN77
Q4J6M6;Q8NFY4
Q9V2H1;Q96JM2
C3MZB3;I3L273
Q9YBK7;Q8WYR1
A4FXG8;Q32NB8
Q8TMY6;Q5FYB0
A4FW11;Q3ZCT1
A6VH04;P13646
C6A1T2;Q96S65
C3MPR8;Q70J99
Q8ZY09;Q8N442
A4G0G9;Q99719
Q9YGB2;O15056
C3MPN7;Q9UKL6
A1RS43;O95292
O29159;P61582
C4KIZ2;P11226
Q6L2G9;O15527
Q9YFT9;Q9BXJ1
Q97CC2;Q9UGL1
Q50785;Q9H6A0
Q8TME2;Q99865
P46215;P86434
O27039;P43361
A0B9U5;O95084
Q8U3S8;Q8N136
Q57637;Q5VVQ6
Q6M0Z1;Q8N9X5
Q4JCP0;Q9UK39
Q58858;O15105
C3MQ90;Q9NUM4
Q8ZY04;Q92922
Q8TY90;Q9NY99
B8GG80;Q8NH73
Q9HQJ6;P11801
Q2NEL0;Q9NTJ5
C3NFS2;O43752
Q12XH2;Q9Y5N6
A4YF67;Q8IYJ3
Q58232;Q9NT99
O27001;A8MWV9
A5UN82;P0C879
Q6LXD7;Q93083
Q6L2M3;Q12840
Q975K0;Q16658
B1L793;Q5TBK1
C3MMC3;Q6UVJ0
A1RXF3;A0A0A6YYJ7
O30642;A0A590UK83
Q465R0;Q5SNT2
C3NG91;Q6UXY1
O30640;Q9NWZ3
Q2FUA4;Q96S19
Q8PXJ6;O94955
A4WM27;O43670
Q0W8A0;Q53GI3
Q12W53;Q8N4W9
Q12ZB4;Q8NBP5
Q18KE1;Q4G1C9
Q57801;Q96BT1
A9A8S1;Q96F45
P95967;Q9NP99
Q5JI74;O75400
O27038;P09466
P55858;P27987
P0CW37;O14512
A7I6S6;O75871
Q8PV89;Q0D2K3
A5UL82;Q9BRQ5
Q57962;Q9P265
Q9YET5;A0A075B6K0
Q0W5I3;Q8NCN4
B6YX39;Q8NHW6
A6VG49;Q07960
C5A2B8;O75864
Q58004;P00748
Q5V1G7;P51813
O59223;Q4ZJI4
C5A2C2;Q9NQ76
Q5JIZ5;Q3SYB3
Q8TRR1;P55089
Q57585;Q5XG99
A0B5N2;Q07666
A3DNV9;O75064
A0B7X3;O75460
Q2NEW2;P13236
O28207;Q96NL1
Q976I0;Q496Y0
Q8TI34;O15228
B8GHN1;Q9UHL4
D4GYZ1;Q9BWW4
Q8U0A0;O14957
Q8ZY49;Q9HC07
O58843;Q495Y8
A6UN87;Q5TFQ8
Q58840;P84090
Q18KL6;Q9Y570
B8GER0;P48060
Q58361;Q96LL3
Q58646;Q92752
O28394;Q76LX8
A9A8S8;Q6NYC1
Q4J9C6;Q8WUY9
C3MPC7;Q9NRP2
Q6LXU3;Q8IZ16
P41200;Q9P0I2
P61881;Q15020
Q8TX83;Q9H8W4
P55170;Q8IUC3
Q6L1B2;Q9BYQ2
D4GYH1;Q5T8I3
P61998;P07199
A4FWX2;Q14019
C4KIT0;Q9H477
Q9HPB9;Q9HD15
C5A4Z4;O14548
Q5V518;Q8WVZ7
Q9HQ89;Q01130
A8MCC9;Q8TDU5
Q9HLP8;O95977
Q8PZN0;Q6PL24
A9A436;Q03518
Q9YB03;P17482
P38613;A0A5B7
P80184;P42167
Q8U147;Q7L985
A7I4T7;Q99470
O29699;Q6AWC8
Q3IU43;Q15119
Q465R3;Q16772
B1L6S7;P06576
O54088;P31645
A2BM25;P32121
A4YI15;Q2TAA8
B8GIB3;A0A1W2PR75
O73986;Q9H8L6
Q58806;Q00653
Q5JJF9;Q6DJT9
Q57937;P17787
Q96ZH0;Q9H9F9
O93623;Q9N2J8
C4KIS5;Q8TES7
Q6LZG0;P30084
C3NG01;Q9BRT6
A9A983;Q9Y233
Q12X18;Q76N89
Q8TT43;P13667
D8J4S4;P01036
O29163;A5D8V7
P95979;Q6AW86
B6YSZ4;Q8N4S9
A2SQR6;Q5T8P6
Q8TL39;P62244
Q9V0M2;Q96FQ7
Q9YF36;P53384
Q6M0H5;Q66K41
Q978N3;Q96PE1
C3NEU1;Q92482
Q8U1W7;O60885
Q8PWM7;P26439
Q2FU91;Q9BUR5
E7FHX6;Q8WX93
Q8Q0Q5;O43567
P26752;Q15040
P58829;O00754
Q4JAZ3;Q96SD1
Q46CH7;Q01524
A7I656;Q96N35
A7I7P2;Q86V40
Q46G14;P20807
Q9HQ27;Q6IFH4
Q6LY06;Q8IZT9
Q97X43;Q712K3
O29114;Q9Y2F5
O26890;P08574
A3DN81;Q9NPF8
Q9HIS3;Q9Y5M1
Q4J8L4;P78333
A2BKH8;Q15546
Q57717;Q8WUT4
Q58226;Q13625
Q3IMF1;Q13952
O28856;Q9GZN0
Q58289;Q15427
Q5V5K5;P80723
O27747;Q14392
D9PU00;Q8N6D5
Q59044;Q6PEY2
Q9YD27;P28356
P58024;Q2TAK8
P95992;Q6NSJ2
Q58704;Q6ZV80
Q9HSQ2;P28799
Q46D27;O00341
A2BN63;P49366
A7IAK4;Q92575
O27222;P35908
A9A5I5;Q6P3X8
Q8TNH5;O95948
O29561;P55010
C3NEW4;Q9NWT6
Q8TV34;Q9H3M7
C3MPQ5;Q9NUQ8
Q4JBY3;Q9HD89
A0RYM0;Q8N9M1
Q9V151;O60259
O26710;P57678
A8AAA9;Q64ET8
A3MW83;Q96T54
A0A256XLS3;Q7Z570
Q60258;A6NM76
A2ST94;A0A0A0MS03
D4GXZ3;Q00LT1
Q58533;Q86TJ2
C9RF94;Q8N4C9
P81412;Q9BV87
Q9Y8T5;Q5SWA1
Q0W498;P01241
Q5UXQ3;Q86V86
O06503;Q86Y46
Q96ZP3;Q9UH65
F6BCS4;Q15835
P39462;O14681
Q8TYM1;Q13886
Q9HQS9;Q08AM6
Q8TYM5;Q15111
Q8THL2;O60512
A4WL16;Q8IUE6
A9A4V3;Q8N5W8
Q58164;Q8NHC6
A3DND4;P15336
Q5JF39;Q9HAN9
Q2FUB7;A8K010
Q58711;P40261
A5UJF2;Q96RC9
Q57649;F5GYI3
Q2FQ56;P86478
Q18FB6;Q86SG2
Q5V117;P62424
B0R6I4;Q99574
O59659;P54253
P61879;Q96KF2
A4WKT1;Q5MJ68
A3MWJ1;O43823
Q8TV06;P0C860
O28766;Q9Y508
Q57687;Q8NGF8
Q8TJZ6;P47872
A6VIT5;P35443
A4YCW9;O14628
Q8ZTA8;Q8NI28
P31813;Q8IVE3
O30520;A0A075B6S6
C4KJ09;A6NKF2
Q6M0W1;Q5VWK0
Q9HI69;Q9NRI6
Q58520;Q6WQI6
C3MU90;Q7Z4L0
Q6L1L7;O96017
Q58114;Q96AW1
O28059;Q5H9M0
Q57686;Q8WVQ1
O58281;P49257
Q57806;Q6IPM2
Q980W9;P0C7Q2
Q8TSY0;Q14442
A6UV17;Q68CZ2
A2BK95;A0A096LP55
Q8TV90;Q8IY17
B8YB59;O95400
Q2FRI1;P01111
A4WLW1;P25098
Q97B25;Q6UWP8
B1YAM9;Q96LA9
Q6LYF0;P59768
A3DNI1;Q8NC51
Q972K6;Q86VR2
Q60264;O95006
Q6M0H0;Q9UJT2
A5ULU4;S4R3Y5
Q57632;Q9UIQ6
Q8U4K4;Q9Y512
Q9UY31;Q8N5N7
Q8PZZ8;P38405
A0B6X7;P20142
Q2NER8;Q9BXS0
Q9V2T5;Q14119
O26885;Q8NFP9
O30006;Q02643
D7E9E0;Q9H3D4
O29041;P42229
Q9HMP0;Q7Z2H8
Q9HH82;P43246
O28952;P41217
Q97B58;Q9H160
P61615;Q6ZMI0
Q975N8;Q8N6S5
A5UKY3;Q9NRA0
Q6WRH6;Q6S5H5
Q97BD7;Q6P1J6
B8GJG9;Q8TAM6
Q6LYI9;Q9Y324
Q12UJ7;Q2M1K9
O28758;P42285
B0R6V1;Q14112
Q5JHN5;P45985
Q97YD2;Q6T310
Q58797;Q6UXP3
A4WKY7;P35414
A3MV81;P83111
Q05E29;P98088
Q18GF1;Q8WU68
A7I6C9;Q6PKC3
Q4JBG6;Q86UD7
Q5JH47;A2RUR9
A6US18;P53567
C5A5N6;Q9BVW6
Q9UX78;Q15049
Q9UWU1;Q9BQ61
Q57972;E7ERA6
A4WJK0;Q9NUY8
A4WJ29;Q9UKC9
A6VIU0;O15428
A7I5R5;P0DPI4
C3MZG6;Q96EY9
C5A3H8;Q9NPB8
Q3ISU0;P41182
Q18GG9;Q92917
C3NHD9;Q5TC84
P61999;Q8N1F7
Q975U2;Q6VUC0
Q57809;Q9P1A2
Q5V4S6;Q6YHU6
A8MDY8;O43364
Q02234;Q96FV9
Q57830;P41221
A4G0P1;P57768
Q466V4;Q86SI9
Q9V025;Q07507
C3NDQ4;Q6DN12
A0RXV1;Q8NFV4
Q6L0F1;Q9NZN9
Q5JE20;P61960
Q9HJN5;O15360
Q8TR65;Q8TAK5
Q5JHL2;Q7RTX0
O57734;A0A0B4J1U6
Q60386;Q2M2Z5
A6VJQ7;P22314
Q468E2;Q9ULK0
Q58478;O43736
Q4J937;P34096
O59144;O95988
B1YAX4;Q08AI8
A1RSD7;Q7L5N7
F6BB32;Q9Y5S9
Q12VA2;Q9BXA7
Q58746;P31946
Q5JF22;O14929
O57782;Q9ULP0
A4WJK5;O95136
A5ULM4;Q6ZUT6
Q8ZTZ0;Q9BZ76
Q60294;P53779
O54003;Q5T1B0
C3MUB4;Q6UX40
C5A5P4;Q8TBP5
Q8U0E3;Q92973
C7P8V7;O95158
O29526;Q5VXH4
P07959;Q86T13
Q8PVD5;Q7Z3H4
Q58240;Q9H9A7
O26892;Q6NVV1
A8MC80;O43776
Q18E36;Q32M45
Q60357;Q9NQY0
Q2FQN9;A0A1W2PPD8
B9LMQ1;Q9H2T7
Q12WT0;Q68CP9
Q975I5;P01704
Q58074;Q8IVP5
Q8TRU6;Q9NUT2
A4YHD8;Q5T2W1
C3N558;Q8TD86
P72020;O15460
Q58178;A0A5B6
C4KIP6;Q9NWQ8
Q97WW0;Q96DN6
Q5V140;Q9H0Y0
Q8TIV0;Q7Z7A1
Q9HJ79;Q53HL2
A4FXY2;Q8IZJ1
Q58007;Q8NGR1
O27728;P35498
A8MA86;P14151
P95962;A0A0J9YX75
Q9HRA2;Q9NSY2
Q57688;Q5JX71
O26285;Q96DR4
B8GFW4;P49711
Q6L1C1;Q9UGM6
Q9HQ29;A0A0J9YX57
Q979W4;Q2M1V0
Q8U0I8;Q92560
Q9UYD4;P83369
Q8U491;Q14CX5
C3N6F2;P0CAP2
Q2NHQ2;Q9UQQ1
O57857;Q99424
D4GP41;Q15517
Q5JIE1;A0A0B4J2E0
Q97W44;P60981
C4KHW5;Q969L4
Q9YFV2;Q8NGS7
A4FXY4;Q15643
Q3ITQ5;P34931
A4YI28;Q96PH1
Q3IMX7;Q8NCU1
C3NEN0;P17540
A4FYA5;A0A1B0GVZ9
O29633;Q6UX41
Q976B2;Q92830
Q8TK89;P15291
B6YSY5;P35475
Q2FTJ7;Q96M60
C3MZG3;Q6IF00
A5UMF6;C9JE40
A3DNK3;Q86X19
D4GPG1;Q6P1M3
Q9UZ49;P14770
O26139;Q9H9P2
O27549;Q9P032
Q5JI92;Q8IV61
O59402;Q9NUQ3
Q9UYV6;Q8NBQ5
Q57670;Q8N2R8
P05394;Q86VY4
Q4JB49;A6NN90
A3DP93;Q9UL46
Q8TUF8;Q7Z3B4
A7I728;O14894
Q9HQD5;O60656
Q8U0A5;Q5TEZ4
A3DNG9;P49638
P29088;P30559
Q8TXU6;P61769
B8GDF2;Q0VAA2
Q8PT98;Q9Y6U3
Q9HLA4;Q8IZP6
Q466A2;P17643
B0R515;Q06250
Q60373;Q09327
A3CUA0;P14678
Q9HQH8;P0DMB1
B6YSP4;P10826
Q8TNY3;Q5H8A3
C7NST3;Q99895
A4YDR9;Q6P1Q0
Q9HJB1;O14756
P22348;A8K979
O28062;O15204
Q9C4B4;O95196
A7I5R0;Q15185
B8GGS3;O94822
C3MWN2;Q6PCB7
Q9YBD4;P48960
Q9HPF2;A0A0B4J1U3
O58012;P13501
A0B9U1;A0PJZ3
Q9HIH6;Q9P291
A9AAU1;Q9Y2A9
Q5V1B3;Q9H0H3
C3N7K8;Q8NH55
A1RTB8;Q13011
E1RHR1;Q9ULB4
A1RRN8;P69905
Q2FQR4;Q52LC2
B9LV13;Q14872
Q03585;Q9NRX1
P60746;P21741
Q9HMD1;Q08495
Q58097;H3BSY2
Q9V2Z7;Q02446
P10623;P43220
A4FYC9;Q8WYA0
P52862;Q6ZNB5
Q58769;Q86XS8
Q4JAY3;Q08426
Q3IU04;O60683
P57687;Q8N878
Q46AS9;B3GLJ2
Q12ZU7;A0A075B6S0
O26132;Q15746
B0R4K1;Q15583
Q9HQ86;Q7Z2Y8
Q74N45;Q9HCN2
B6YXP0;O95399
Q46E39;Q587J8
Q8TX49;Q17RG1
P54053;Q9NRC6
A4WN46;P54821
Q46GA0;P98073
A1RXG4;P0C6S8
Q57603;Q86XK7
B1YD56;Q8IXL9
O28593;A0A1B0GTQ4
A3MWV7;P0DO97
Q58560;Q86V59
C4KHS1;Q969V1
C3N8S4;Q14525
Q6LWQ0;A0AVI4
Q57729;Q9BZ72
A2ST12;Q02221
P0CL74;Q6ZMW2
Q9HRB2;Q6ZQR2
A2BJZ2;O15151
B6YT12;Q5TF39
A3CVP0;P0CG04
Q46CE2;O95248
Q9HKT9;P47944
D8J663;P54753
Q0W6F7;Q96S15
C5A1N3;P41091
Q6LX81;Q9BQJ4
Q57662;O94913
A1RX38;O15397
Q8U394;P23490
A0B885;Q9Y5H3
D4GQP0;Q13145
Q2NHT0;Q9BZL4
Q3IUD8;Q7Z2Y5
A6UVA8;P55327
Q18KI6;O15165
Q6L1X8;Q8N8R7
A7I8Y0;P09936
O26824;Q6UY11
Q57678;P56178
A0B966;Q8N5W9
Q9HLW6;Q15493
P26751;Q8IV45
Q58591;H3BQL2
Q8PX01;Q6ZS52
Q0W8C7;Q9Y2W2
Q46FV2;D6RCP7
A7I9R7;Q9Y675
Q58538;P01009
O29667;Q16595
Q97BP8;Q32M78
O29862;Q9Y2I8
A3MWK6;Q9UJX3
A3DM74;Q96BI3
O57706;Q9NPB9
O28149;A0A087X0M5
O28724;Q59EK9
Q980U8;Q09MP3
C3NBN0;Q9UL15
Q97YD5;A0A0A0MTA4
C3NEP6;O75712
A4YD78;Q76B58
Q8U1S1;P25189
Q2NHB7;Q9NZD1
Q3IRZ1;O75582
A9A9P9;Q5JWF8
A4G0Z3;A2RU48
Q2NFV9;Q8IXR5
Q9HSA4;Q9BRS8
Q0W6Q1;A0A0A6YYD4
A9A8T4;Q6ZSG2
Q60276;P06702
C4KIJ7;Q6NT52
Q9YAV8;Q8IYB5
A6UW04;P57057
Q46G96;O00244
Q5V464;Q16570
Q8PXE6;Q9Y5K6
Q8ZW45;Q96ME1
Q9UY98;P28906
A8ABK3;Q9NYM4
B6YTM6;Q92841
B1YCW1;Q86T23
O59298;A6NK06
Q8ZZJ7;Q8IYD1
P50483;Q96RP8
B1YC67;Q96B54
O28703;Q96R48
Q9UY21;Q9P2M7
Q8TS34;A6NMY6
Q8PYJ4;Q8NFQ8
A9A4N5;Q8TCU5
O27496;Q9GZP9
Q5V2X0;P17813
P96022;Q06643
A6UQ55;Q9UKY4
Q6LY59;Q96SC8
Q8TUD7;Q4LEZ3
A0A1Q9P359;O14770
Q97WX2;P04001
Q58905;A6NCF6
Q8TX44;Q9Y223
C3MVG5;Q9C019
B0R815;Q9NPI9
Q57631;Q96MC2
A4YIE0;Q8IW93
C4KJ91;P22749
Q8Q0P3;P07311
Q56230;Q96C01
Q58266;Q86SH2
D3SRA6;P41180
P61193;Q4G0F5
Q8U015;Q5T4D3
Q9HPK0;Q9Y2T1
Q46FV0;Q9GZM7
Q8TX47;Q9HAV4
C3NGI3;Q6UWY0
Q58087;O14543
C5A269;P05166
C3N8R2;Q9H7F0
P08055;Q5JVG8
Q0W1B0;Q86VX2
C3MX03;Q96JG9
O28325;Q8IUH8
A9A9B4;Q6NUM6
Q8TWD0;Q5VXI9
Q8PW92;P0C2Y1
O26950;Q9Y6N1
Q96XS5;O75419
Q9V0D2;O95428
A8MDP6;Q99758
Q8TMD6;Q8TAW3
Q97C22;O43166
A2STB6;P36382
P58746;Q8IX15
A8MC60;Q13017
Q979W3;P04150
B6YTF0;Q14541
Q3ITA0;F2Z398
Q57712;A0A1B0GVQ0
A2BKC0;Q15032
A8AB83;Q9HBG6
C4KHC6;Q86U06
Q46G98;Q8NFA2
Q9UWG2;A0A1B0GVZ6
Q49593;Q6UWQ5
Q9HJW4;Q99615
Q8TGZ7;P0CF97
Q979F7;Q9Y5R4
P72186;Q6PIV7
Q46E43;Q9NQT6
A6VGM3;Q9BYR5
Q5JI21;Q9H205
C3NGA1;Q92771
A4FZB4;Q8TF30
M4YMP0;Q9Y6Z5
Q60316;O15350
O29292;Q8NES3
Q58268;Q92544
A0B645;Q5MJ09
Q979X0;P49758
Q6LZG8;Q9HCU4
Q8U1B3;C0HM02
A2SSV1;A4FU28
Q97ZH6;Q8TBB6
A6UWM0;Q9UH03
Q8TH22;Q9UBB4
Q6LYR8;Q96RD3
B1L5U5;Q16643
Q4J8I4;Q9P0K7
A2BLL6;Q7Z569
C3MYE2;P11229
Q6L294;Q701N2
Q6L1F4;O60307
Q18EA0;Q5VU36
Q49162;P35520
O28323;Q7Z3Z3
A2BIS8;A0A1W2PP97
Q9V2N7;Q7Z3E1
Q8PZP7;Q9UM19
O29703;Q9HD90
Q8PTA5;Q13868
Q58602;Q8IZ08
Q18K21;O60494
A6UVR5;Q9H7X2
O58466;O75489
Q57616;Q14508
Q8ZSV4;A8MVZ5
Q8PVZ0;O75908
C4KHD9;Q9BVQ7
B9LSZ3;Q9P1Z3
Q57705;Q9UIA9
Q8U3Z8;Q9BVC4
P58984;Q8WXT5
Q58638;A2A2Z9
B0R6D7;Q5SRI9
A6UPE6;Q9NPH3
A1RSK3;Q8WWH5
Q3IME1;P05120
Q6LXY8;P07333
C3MQ76;P0CG36
A3CT10;A6ND91
C3MQY4;A8MU93
C3N7X8;P04155
B8GJN8;P17509
P96800;Q68CK6
A1RS34;P0DPH8
B0R450;C9JVI0
C3NGA0;Q3ZM63
A3DM47;Q9BR11
B0R669;Q8IY37
Q2NEV8;Q9Y294
Q5JGC8;O95340
O93632;Q9NP98
Q9UXG7;O94850
P58796;Q52M58
Q9YG22;Q9BRX5
C6A1K8;P55735
A8AAI4;Q9Y388
A1RQK6;Q3MIT2
A6UVK2;P0DMV9
P58815;Q9Y614
Q57638;Q4LDE5
A4YI77;Q6DWJ6
C3N740;Q6ZVT6
D4GVJ3;O60830
Q9V1T9;Q16363
Q0W443;Q9BZZ2
Q9V2I3;Q9NZS2
O28543;P52799
C6A177;Q8NB50
A0B5K5;P35325
A4WLN5;Q8TDG4
Q8PWS3;Q9Y217
O29524;Q9H479
Q97B93;Q8N474
P35024;Q9Y692
Q58280;Q9HBG7
Q9V2W4;Q9H7D0
A8M9G2;Q8TBK6
Q12UP9;P01571
A0A075HNX4;Q9NUL7
Q6LY84;Q9Y375
P0C835;Q9HC24
C6A159;P20908
Q59063;P61026
P80909;Q70EK9
O33771;Q8TAF3
A6VJY2;P50552
Q58031;Q6V9R5
B6YT50;Q8N4T4
A1RV54;P0CB33
C3MY95;P51530
A2STY4;Q9NRF2
Q57998;Q9BUJ2
Q971B6;O43586
Q18GG5;Q8NEZ3
Q8TRT0;Q5W111
A1RU36;Q9UNN4
O59536;A8MU46
Q12W31;P00156
O28288;P0DV79
P39464;Q9H322
Q8PTN8;Q07108
B6YUL3;Q1XH10
Q9Y935;P36404
Q9HPB7;Q9NR56
A3MY52;P0C7V7
A6UPF4;Q5GH76
Q5JES6;P0DP01
A3MY12;Q96NZ1
Q6L0C3;Q9NQZ5
A1RU92;Q9BQC6
Q9V1V9;J3KSC0
A5ULF7;Q8NGC3
Q57655;Q96A05
A9A6K6;O75844
A4FX62;Q14957
Q5JGT6;Q5T9C9
Q58557;A0AV02
Q5UZ40;Q6ZN18
O57948;Q9H992
Q469M7;Q96KC8
C3NHF4;Q8N8A8
B9LPF8;Q16280
Q46D96;Q9NP92
Q9Y9T6;P0DH78
Q58041;Q8N2A0
P80907;P48066
O26518;Q9UBF6
Q58549;O14609
Q2FPH2;Q9BY41
Q8ZU79;Q8TE57
Q9YFK4;P36871
Q74N24;Q9H9K5
Q58001;P47804
Q8ZX91;Q96NU0
D4GP35;P21145
Q5JDS9;Q96AY2
A9A7M3;Q8N0U2
A6VGK4;Q9Y224
P05410;Q9NZC7
Q58875;Q9NYS0
A3CXN3;Q7Z7M9
Q9V0G1;P61296
A3CT78;Q7L1I2
C4KIV4;P35244
A4YI12;P0CG35
O59080;Q9HBV2
B9LMX5;O60575
A4FVT8;Q6PJP8
O26774;Q9H0Z9
C6A2D7;Q5H9L4
Q5JHU5;Q9H6S0
C3MJ14;P32246
Q9HJJ6;Q96P56
Q6M176;Q86Y82
Q8TVL8;Q9NR50
O27492;Q9UPU9
B9LQ28;Q14444
Q74M51;Q14055
Q8TVL9;Q8TEA7
C4KHE3;Q05932
Q5UYS2;Q9H114
Q8TVE8;A8MV24
Q5JF30;P36507
Q8PXA9;Q9P2G9
Q9V0V2;O95279
Q5JFL8;Q6P2H8
C4KHD8;Q15648
A0RUG0;Q14781
Q9HNE2;P0C7U1
Q8PYK3;Q8IWU2
Q51801;O75554
A4G0A4;Q8N8L2
O30167;Q08AD1
A4YD92;P49137
A6UQM0;Q86VH4
A4YIP0;Q9Y3Y4
B8GJL7;Q96MY7
C3NH89;A0A1B0GWG4
Q58272;Q7Z4V0
C3NEM0;Q9GZU5
Q2FRU6;Q14469
Q2NGH9;O95841
O57932;Q07869
P81310;Q8IY31
A3DKL1;Q0D2I5
O28208;P48728
Q2FLD9;Q9UMW8
Q8U2A0;Q71RS6
O59146;P18031
Q5JFK7;Q99500
O57742;Q06495
Q6L147;Q53T94
Q9YA91;Q6UXC1
Q9YDZ1;Q2TAC2
A9A2E4;Q05586
A3CW67;O15304
Q46DV8;Q09019
Q12X59;Q15054
Q8TW01;P60410
P61988;P0DP25
Q48296;Q76L83
P95690;Q9H0E2
O27075;Q8N3F9
A9A5S1;Q32M92
A0B6X3;Q9NP08
P80651;P15514
Q9UZ09;Q8IYS0
Q3IMR2;P62995
P58302;Q6IQ16
C3NHQ7;Q13310
Q8TZS0;Q9H5J4
Q9HRA5;P29274
Q2FQM1;Q9H628
B1YDJ1;P62491
A4YDT1;Q9BRT9
A1RWS0;Q96FE5
Q58499;Q3B7T3
B0R6V9;P01601
C6A1B2;O14828
A6UQD4;Q8TC84
C3MXC5;Q9H208
Q6M067;Q06455
A8M9N5;Q69384
P50317;Q4G112
A6USE4;P51508
Q46F25;Q9NU02
A2STM8;Q96SN8
O28990;Q7Z5A8
A7IAV1;Q14500
C6A0N1;Q92604
Q9HS93;Q9H0C2
D8JBB8;Q86UX6
A4FY32;Q9Y4A5
B9LV23;Q96EY4
A7I849;Q8WTT0
A3MSG0;Q9BXY5
Q3IMX8;Q8WU66
A6UW94;Q9BV94
Q3ITY6;P00709
O57868;P0DMT0
Q12YN5;Q7L8C5
Q50227;Q9BVI4
Q5JDH3;Q9Y651
Q58714;Q96S07
P51605;Q04726
O58497;Q9HD42
Q46D63;Q7L8J4
Q9HJD7;Q8WXS3
A4WLH8;Q5VWM4
Q97VF1;Q9NZC4
Q3IQC4;Q8NEA6
A2BK91;Q13591
Q6M0L1;Q8NHV4
Q5JCX3;Q4G0G2
A6UWW6;P21941
Q6KZV3;P21506
Q8TJQ0;O76042
D4GXP4;P80297
A0B8L1;P0DSO3
Q48335;O75884
P14119;Q92731
C3MYZ9;O15078
Q6KZ23;B2RV13
Q8PXH2;Q96JL9
Q8TJA2;P53350
Q0W8U7;Q8NA69
D4GPU7;Q9Y5E2
Q9UX94;P78345
Q5UX45;P22083
Q59062;Q8N1G4
A4FWY5;Q9HA47
Q5V2Y4;Q86T65
C3MWN0;Q96A22
O26369;Q76FK4
Q9C4Z5;A6NCQ9
Q6M056;P51114
O28237;Q96GD4
Q980D1;Q9Y4E8
Q0W2P8;O14817
D4GSS5;Q8WWZ7
Q6M0H3;P33121
P61710;Q14181
P14034;Q8N5C6
Q18F41;Q9ULG3
A2SQF6;Q6MZM9
A6VGV6;Q92542
P57766;Q9NUK0
Q975X3;Q2I0M4
O28243;Q15165
Q96YV7;Q8TAG5
Q3IUE8;Q96MT1
Q6LZD4;Q5T7W7
C3N6N6;Q14585
P54054;Q15573
Q9YB13;Q96EU6
Q8PY58;Q9Y5E9
P58748;Q96N95
C4KJ29;A6NMN3
Q8TQF5;A6NFA0
A6UQZ4;P54105
Q2NE59;P24278
A3CS46;Q9UHT4
Q4JB46;Q0D2K5
P60374;Q96KK5
Q8TXM4;P40259
O29209;Q96D59
Q58994;Q9P281
Q9HNR3;P27544
O58523;P04035
Q5V0G6;Q9BWQ8
